Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Interaction,Chrome 90.0.4430.93,,,2021-05-10 23:48:50,2021-05-10 23:50:33,1m - 43.326s,FAILED
,,,,,,,
Test Cases/NegativeSignIn,Chrome 90.0.4430.93,,,2021-05-10 23:48:52,2021-05-10 23:49:35,43.156s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-10 23:48:53,2021-05-10 23:48:58,4.711s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-10 23:48:58,2021-05-10 23:49:03,4.804s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:03,2021-05-10 23:49:04,1.060s,PASSED
"click(findTestObject(""Object Repository/NegativeSignIn/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:04,2021-05-10 23:49:05,1.199s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:05,2021-05-10 23:49:06,1.016s,PASSED
"click(findTestObject(""Object Repository/NegativeSignIn/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:06,2021-05-10 23:49:09,2.508s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:09,2021-05-10 23:49:10,1.008s,PASSED
"setText(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamed"")",Chrome 90.0.4430.93,,,2021-05-10 23:49:10,2021-05-10 23:49:11,0.878s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:11,2021-05-10 23:49:12,1.008s,PASSED
"setEncryptedText(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-10 23:49:12,2021-05-10 23:49:12,0.644s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:12,2021-05-10 23:49:13,1.011s,PASSED
"click(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:13,2021-05-10 23:49:15,1.563s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:15,2021-05-10 23:49:16,1.013s,PASSED
"doubleClick(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_U_username""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:16,2021-05-10 23:49:16,0.622s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:16,2021-05-10 23:49:17,1.026s,PASSED
"click(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_U_username""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:17,2021-05-10 23:49:18,0.549s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:18,2021-05-10 23:49:19,1.012s,PASSED
"setText(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-10 23:49:19,2021-05-10 23:49:20,0.827s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:20,2021-05-10 23:49:21,1.017s,PASSED
"setEncryptedText(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_P_password""), ""jan8dG1gofw="")",Chrome 90.0.4430.93,,,2021-05-10 23:49:21,2021-05-10 23:49:21,0.514s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:21,2021-05-10 23:49:22,1.015s,PASSED
"click(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:22,2021-05-10 23:49:24,1.382s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:24,2021-05-10 23:49:25,1.006s,PASSED
"click(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/div_Invalid credentials.                   _173ecb""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:25,2021-05-10 23:49:25,0.505s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:25,2021-05-10 23:49:26,1.009s,PASSED
"setText(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_U_username""), """")",Chrome 90.0.4430.93,,,2021-05-10 23:49:26,2021-05-10 23:49:27,0.825s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:27,2021-05-10 23:49:28,1.009s,PASSED
"setEncryptedText(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-10 23:49:28,2021-05-10 23:49:29,0.570s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:29,2021-05-10 23:49:30,1.012s,PASSED
"click(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/div_Welcome to Central Authentication Servi_5c448d""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:30,2021-05-10 23:49:30,0.516s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:30,2021-05-10 23:49:31,1.009s,PASSED
"click(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/div_Welcome to Central Authentication Servi_5c448d_1""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:31,2021-05-10 23:49:32,0.437s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:32,2021-05-10 23:49:33,1.015s,PASSED
"setText(findTestObject(""Object Repository/NegativeSignIn/Page_Login - CAS  Central Authentication Service/input_U_username""), """")",Chrome 90.0.4430.93,,,2021-05-10 23:49:33,2021-05-10 23:49:33,0.780s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:33,2021-05-10 23:49:34,1.012s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-10 23:49:34,2021-05-10 23:49:35,0.998s,PASSED
,,,,,,,
Test Cases/PositiveSignIn,Chrome 90.0.4430.93,,,2021-05-10 23:49:36,2021-05-10 23:50:02,26.839s,FAILED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-10 23:49:36,2021-05-10 23:49:39,2.215s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-10 23:49:39,2021-05-10 23:49:43,4.454s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:43,2021-05-10 23:49:44,1.015s,PASSED
"click(findTestObject(""Object Repository/PositiveSignIn/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:44,2021-05-10 23:49:45,1.098s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:45,2021-05-10 23:49:46,1.020s,PASSED
"click(findTestObject(""Object Repository/PositiveSignIn/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:46,2021-05-10 23:49:49,2.425s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:49,2021-05-10 23:49:50,1.012s,PASSED
"setText(findTestObject(""Object Repository/PositiveSignIn/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-10 23:49:50,2021-05-10 23:49:50,0.880s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:50,2021-05-10 23:49:51,1.015s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PositiveSignIn/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-10 23:49:51,2021-05-10 23:49:52,0.646s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:52,2021-05-10 23:49:53,1.004s,PASSED
"click(findTestObject(""Object Repository/PositiveSignIn/Page_Login - CAS  Central Authentication Service/b_login.sabanciuniv.edu""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:53,2021-05-10 23:49:54,0.493s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:54,2021-05-10 23:49:55,1.010s,PASSED
"click(findTestObject(""Object Repository/PositiveSignIn/Page_Login - CAS  Central Authentication Service/div_Welcome to Central Authentication Servi_5c448d""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:55,2021-05-10 23:49:55,0.473s,PASSED
