Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Navigation,Chrome 90.0.4430.93,,,2021-05-11 19:26:42,2021-05-11 19:36:26,9m - 43.918s,FAILED
,,,,,,,
Test Cases/ProfilePage(PressingOnImage),Chrome 90.0.4430.93,,,2021-05-11 19:26:44,2021-05-11 19:27:13,28.564s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:26:45,2021-05-11 19:26:50,4.242s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:26:50,2021-05-11 19:26:53,3.782s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:26:53,2021-05-11 19:26:54,1.065s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:26:54,2021-05-11 19:26:56,1.272s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:26:56,2021-05-11 19:26:57,1.017s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:26:57,2021-05-11 19:26:59,2.453s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:26:59,2021-05-11 19:27:00,1.009s,PASSED
"setText(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-11 19:27:00,2021-05-11 19:27:01,0.879s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:01,2021-05-11 19:27:02,1.015s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-11 19:27:02,2021-05-11 19:27:03,0.701s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:03,2021-05-11 19:27:04,1.006s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:04,2021-05-11 19:27:07,2.714s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:07,2021-05-11 19:27:08,1.007s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(PressingOnImage)/Page_Dashboard/img_Log out_welcome_userpicture""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:08,2021-05-11 19:27:09,1.492s,PASSED
delay(3),Chrome 90.0.4430.93,,,2021-05-11 19:27:09,2021-05-11 19:27:12,3.013s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-11 19:27:12,2021-05-11 19:27:13,0.954s,PASSED
,,,,,,,
Test Cases/ProfilePage(DropdownTab),Chrome 90.0.4430.93,,,2021-05-11 19:27:13,2021-05-11 19:27:41,27.612s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:27:14,2021-05-11 19:27:16,2.101s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:27:16,2021-05-11 19:27:20,3.808s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:20,2021-05-11 19:27:21,1.003s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(DropdownTab)/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:21,2021-05-11 19:27:22,1.090s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:22,2021-05-11 19:27:23,1.020s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(DropdownTab)/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:23,2021-05-11 19:27:25,2.286s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:25,2021-05-11 19:27:26,1.003s,PASSED
"setText(findTestObject(""Object Repository/ProfilePage(DropdownTab)/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-11 19:27:26,2021-05-11 19:27:27,0.851s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:27,2021-05-11 19:27:28,1.012s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ProfilePage(DropdownTab)/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-11 19:27:28,2021-05-11 19:27:29,0.569s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:29,2021-05-11 19:27:30,1.012s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(DropdownTab)/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:30,2021-05-11 19:27:33,2.968s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:33,2021-05-11 19:27:34,1.006s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(DropdownTab)/Page_Dashboard/span_Mohamed Emad Mohamed Kassem""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:34,2021-05-11 19:27:34,0.756s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:34,2021-05-11 19:27:35,1.013s,PASSED
"click(findTestObject(""Object Repository/ProfilePage(DropdownTab)/Page_Dashboard/a_Profile""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:35,2021-05-11 19:27:37,1.250s,PASSED
delay(3),Chrome 90.0.4430.93,,,2021-05-11 19:27:37,2021-05-11 19:27:40,3.018s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-11 19:27:40,2021-05-11 19:27:41,1.028s,PASSED
,,,,,,,
Test Cases/MyCourses(CS439),Chrome 90.0.4430.93,,,2021-05-11 19:27:41,2021-05-11 19:28:03,22.215s,FAILED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:27:41,2021-05-11 19:27:43,1.793s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:27:43,2021-05-11 19:27:48,4.866s,PASSED
